ETAT,$,start,pipe_sequence,simple_command,PIPE,cmd_prefix,cmd_word,cmd_suffix,cmd_name,WORD,io_redirect,io_file,io_here,RET_TO,filename,RET_FROM,DGREAT,DLESS,here_end,
0, , ,1,2, ,3, , ,4,6,5,7,8,9, ,10,11,12, ,
1,ACC, , , ,13, , , , , , , , , , , , , , ,
2,-2, , , ,-2, , , , , , , , , , , , , , ,
3,-6, , , ,-6, ,14, , ,16,15,7,8,9, ,10,11,12, ,
4,-8, , , ,-8, , ,17, ,19,18,7,8,9, ,10,11,12, ,
5,-11, , , ,-11, , , , ,-11, , , ,-11, ,-11,-11,-11, ,
6,-9, , , ,-9, , , , ,-9, , , ,-9, ,-9,-9,-9, ,
7,-17, , , ,-17, , , , ,-17, , , ,-17, ,-17,-17,-17, ,
8,-18, , , ,-18, , , , ,-18, , , ,-18, ,-18,-18,-18, ,
9, , , , , , , , , ,21, , , , ,20, , , , ,
10, , , , , , , , , ,21, , , , ,22, , , , ,
11, , , , , , , , , ,21, , , , ,23, , , , ,
12, , , , , , , , , ,25, , , , , , , , ,24,
13, , , ,26, ,3, , ,4,6,5,7,8,9, ,10,11,12, ,
14,-5, , , ,-5, , ,27, ,19,18,7,8,9, ,10,11,12, ,
15,-12, , , ,-12, , , , ,-12, , , ,-12, ,-12,-12,-12, ,
16,-10, , , ,-10, , , , ,-10, , , ,-10, ,-10,-10,-10, ,
17,-7, , , ,-7, , , , ,29,28,7,8,9, ,10,11,12, ,
18,-13, , , ,-13, , , , ,-13, , , ,-13, ,-13,-13,-13, ,
19,-15, , , ,-15, , , , ,-15, , , ,-15, ,-15,-15,-15, ,
20,-19, , , ,-19, , , , ,-19, , , ,-19, ,-19,-19,-19, ,
21,-22, , , ,-22, , , , ,-22, , , ,-22, ,-22,-22,-22, ,
22,-20, , , ,-20, , , , ,-20, , , ,-20, ,-20,-20,-20, ,
23,-21, , , ,-21, , , , ,-21, , , ,-21, ,-21,-21,-21, ,
24,-23, , , ,-23, , , , ,-23, , , ,-23, ,-23,-23,-23, ,
25,-24, , , ,-24, , , , ,-24, , , ,-24, ,-24,-24,-24, ,
26,-3, , , ,-3, , , , , , , , , , , , , , ,
27,-4, , , ,-4, , , , ,29,28,7,8,9, ,10,11,12, ,
28,-14, , , ,-14, , , , ,-14, , , ,-14, ,-14,-14,-14, ,
29,-16, , , ,-16, , , , ,-16, , , ,-16, ,-16,-16,-16, ,
