ETAT,$,complete_command,list,and_or,SEMI,BACKGROUND,pipeline,AND_IF,OR_IF,command,PIPE,BANG,simple_command,subshell,redirect_list,L_PAREN,R_PAREN,cmd_prefix,cmd_word,cmd_suffix,cmd_name,WORD,io_redirect,io_file,io_here,LESS,filename,GREAT,DGREAT,LESSGREAT,ANDGREAT,DLESS,here_end,
0, , ,1,2, , ,3, , ,4, ,5,6,7, ,10, ,8, , ,9,12,11,13,14,15, ,16,17,18,19,20, ,
1,ACC, , , ,21,22, , , , , , , , , , ,-1, , , , , , , , , , , , , , , , ,
2,-2, , , ,-2,23, ,24,25, , , , , , , ,-2, , , , , , , , , , , , , , , , ,
3,-6, , , ,-6,-6, ,-6,-6, ,26, , , , , ,-6, , , , , , , , , , , , , , , , ,
4,-9, , , ,-9,-9, ,-9,-9, ,-9, , , , , ,-9, , , , , , , , , , , , , , , , ,
5, , , , , , ,27, , ,4, ,5,6,7, ,10, ,8, , ,9,12,11,13,14,15, ,16,17,18,19,20, ,
6,-12, , , ,-12,-12, ,-12,-12, ,-12, , , , , ,-12, , , , , , , , , , , , , , , , ,
7,-13, , , ,-13,-13, ,-13,-13, ,-13, , , ,28, ,-13, , , , , ,29,13,14,15, ,16,17,18,19,20, ,
8,-18, , , ,-18,-18, ,-18,-18, ,-18, , , , , ,-18, ,30, , ,32,31,13,14,15, ,16,17,18,19,20, ,
9,-20, , , ,-20,-20, ,-20,-20, ,-20, , , , , ,-20, , ,33, ,35,34,13,14,15, ,16,17,18,19,20, ,
10, ,36,1,2, , ,3, , ,4, ,5,6,7, ,10, ,8, , ,9,12,11,13,14,15, ,16,17,18,19,20, ,
11,-23, , , ,-23,-23, ,-23,-23, ,-23, , , , , ,-23, , , , ,-23, , , ,-23, , , , , ,-23, ,
12,-21, , , ,-21,-21, ,-21,-21, ,-21, , , , , ,-21, , , , ,-21, , , ,-21, , , , , , , ,
13,-31, , , ,-31,-31, ,-31,-31, ,-31, , , , , ,-31, , , , ,-31, , , ,-31, , , , , ,-31, ,
14,-32, , , ,-32,-32, ,-32,-32, ,-32, , , , , ,-32, , , , ,-32, , , ,-32, , , , , ,-32, ,
15, , , , , , , , , , , , , , , , , , , , , ,38, , , , ,37, , , , , , ,
16, , , , , , , , , , , , , , , , , , , , , ,38, , , , ,39, , , , , , ,
17, , , , , , , , , , , , , , , , , , , , , ,38, , , , ,40, , , , , , ,
18, , , , , , , , , , , , , , , , , , , , , ,38, , , , ,41, , , , , , ,
19, , , , , , , , , , , , , , , , , , , , , ,38, , , , ,42, , , , , , ,
20, , , , , , , , , , , , , , , , , , , , , ,44, , , , , , , , , , ,43,
21, , , ,45, , ,3, , ,4, ,5,6,7, ,10, ,8, , ,9,12,11,13,14,15, ,16,17,18,19,20, ,
22, , , ,46, , ,3, , ,4, ,5,6,7, ,10, ,8, , ,9,12,11,13,14,15, ,16,17,18,19,20, ,
23,-5, , , ,-5,-5, , , , , , , , , , ,-5, , , , , , , , , , , , , , , , ,
24, , , , , , ,47, , ,4, ,5,6,7, ,10, ,8, , ,9,12,11,13,14,15, ,16,17,18,19,20, ,
25, , , , , , ,48, , ,4, ,5,6,7, ,10, ,8, , ,9,12,11,13,14,15, ,16,17,18,19,20, ,
26, , , , , , , , , ,49, , ,6,7, ,10, ,8, , ,9,12,11,13,14,15, ,16,17,18,19,20, ,
27,-11, , , ,-11,-11, ,-11,-11, ,26, , , , , ,-11, , , , , , , , , , , , , , , , ,
28,-14, , , ,-14,-14, ,-14,-14, ,-14, , , , , ,-14, , , , , ,50,13,14,15, ,16,17,18,19,20, ,
29,-29, , , ,-29,-29, ,-29,-29, ,-29, , , , , ,-29, , , , , , , , ,-29, , , , , ,-29, ,
30,-17, , , ,-17,-17, ,-17,-17, ,-17, , , , , ,-17, , ,51, ,35,34,13,14,15, ,16,17,18,19,20, ,
31,-24, , , ,-24,-24, ,-24,-24, ,-24, , , , , ,-24, , , , ,-24, , , ,-24, , , , , ,-24, ,
32,-22, , , ,-22,-22, ,-22,-22, ,-22, , , , , ,-22, , , , ,-22, , , ,-22, , , , , , , ,
33,-19, , , ,-19,-19, ,-19,-19, ,-19, , , , , ,-19, , , , ,53,52,13,14,15, ,16,17,18,19,20, ,
34,-25, , , ,-25,-25, ,-25,-25, ,-25, , , , , ,-25, , , , ,-25, , , ,-25, , , , , ,-25, ,
