ETAT,$,complete_command,and_or,pipeline,AND_IF,OR_IF,command,PIPE,simple_command,subshell,redirect_list,L_PAREN,R_PAREN,cmd_prefix,cmd_word,cmd_suffix,cmd_name,WORD,io_redirect,io_file,io_here,LESS,filename,GREAT,DGREAT,DLESS,here_end,
0, , ,1,2, , ,3, ,4,5, ,8, ,6, , ,7,10,9,11,12,13, ,14,15,16, ,
1,ACC, , , ,17,18, , , , , , ,-1, , , , , , , , , , , , , , ,
2,-2, , , ,-2,-2, ,19, , , , ,-2, , , , , , , , , , , , , , ,
3,-5, , , ,-5,-5, ,-5, , , , ,-5, , , , , , , , , , , , , , ,
4,-7, , , ,-7,-7, ,-7, , , , ,-7, , , , , , , , , , , , , , ,
5,-8, , , ,-8,-8, ,-8, , ,20, ,-8, , , , , ,21,11,12,13, ,14,15,16, ,
6,-13, , , ,-13,-13, ,-13, , , , ,-13, ,22, , ,24,23,11,12,13, ,14,15,16, ,
7,-15, , , ,-15,-15, ,-15, , , , ,-15, , ,25, ,27,26,11,12,13, ,14,15,16, ,
8, ,28,1,2, , ,3, ,4,5, ,8, ,6, , ,7,10,9,11,12,13, ,14,15,16, ,
9,-18, , , ,-18,-18, ,-18, , , , ,-18, , , , ,-18, , , ,-18, ,-18,-18,-18, ,
10,-16, , , ,-16,-16, ,-16, , , , ,-16, , , , ,-16, , , ,-16, ,-16,-16,-16, ,
11,-26, , , ,-26,-26, ,-26, , , , ,-26, , , , ,-26, , , ,-26, ,-26,-26,-26, ,
12,-27, , , ,-27,-27, ,-27, , , , ,-27, , , , ,-27, , , ,-27, ,-27,-27,-27, ,
13, , , , , , , , , , , , , , , , , ,30, , , , ,29, , , , ,
14, , , , , , , , , , , , , , , , , ,30, , , , ,31, , , , ,
15, , , , , , , , , , , , , , , , , ,30, , , , ,32, , , , ,
16, , , , , , , , , , , , , , , , , ,34, , , , , , , , ,33,
17, , , ,35, , ,3, ,4,5, ,8, ,6, , ,7,10,9,11,12,13, ,14,15,16, ,
18, , , ,36, , ,3, ,4,5, ,8, ,6, , ,7,10,9,11,12,13, ,14,15,16, ,
19, , , , , , ,37, ,4,5, ,8, ,6, , ,7,10,9,11,12,13, ,14,15,16, ,
20,-9, , , ,-9,-9, ,-9, , , , ,-9, , , , , ,38,11,12,13, ,14,15,16, ,
21,-24, , , ,-24,-24, ,-24, , , , ,-24, , , , , , , , ,-24, ,-24,-24,-24, ,
22,-12, , , ,-12,-12, ,-12, , , , ,-12, , ,39, ,27,26,11,12,13, ,14,15,16, ,
23,-19, , , ,-19,-19, ,-19, , , , ,-19, , , , ,-19, , , ,-19, ,-19,-19,-19, ,
24,-17, , , ,-17,-17, ,-17, , , , ,-17, , , , ,-17, , , ,-17, ,-17,-17,-17, ,
25,-14, , , ,-14,-14, ,-14, , , , ,-14, , , , ,41,40,11,12,13, ,14,15,16, ,
26,-20, , , ,-20,-20, ,-20, , , , ,-20, , , , ,-20, , , ,-20, ,-20,-20,-20, ,
27,-22, , , ,-22,-22, ,-22, , , , ,-22, , , , ,-22, , , ,-22, ,-22,-22,-22, ,
28, , , , , , , , , , , , ,42, , , , , , , , , , , , , , ,
29,-28, , , ,-28,-28, ,-28, , , , ,-28, , , , ,-28, , , ,-28, ,-28,-28,-28, ,
30,-31, , , ,-31,-31, ,-31, , , , ,-31, , , , ,-31, , , ,-31, ,-31,-31,-31, ,
31,-29, , , ,-29,-29, ,-29, , , , ,-29, , , , ,-29, , , ,-29, ,-29,-29,-29, ,
32,-30, , , ,-30,-30, ,-30, , , , ,-30, , , , ,-30, , , ,-30, ,-30,-30,-30, ,
33,-32, , , ,-32,-32, ,-32, , , , ,-32, , , , ,-32, , , ,-32, ,-32,-32,-32, ,
34,-33, , , ,-33,-33, ,-33, , , , ,-33, , , , ,-33, , , ,-33, ,-33,-33,-33, ,
35,-3, , , ,-3,-3, ,19, , , , ,-3, , , , , , , , , , , , , , ,
36,-4, , , ,-4,-4, ,19, , , , ,-4, , , , , , , , , , , , , , ,
37,-6, , , ,-6,-6, ,-6, , , , ,-6, , , , , , , , , , , , , , ,
38,-25, , , ,-25,-25, ,-25, , , , ,-25, , , , , , , , ,-25, ,-25,-25,-25, ,
39,-11, , , ,-11,-11, ,-11, , , , ,-11, , , , ,41,40,11,12,13, ,14,15,16, ,
40,-21, , , ,-21,-21, ,-21, , , , ,-21, , , , ,-21, , , ,-21, ,-21,-21,-21, ,
41,-23, , , ,-23,-23, ,-23, , , , ,-23, , , , ,-23, , , ,-23, ,-23,-23,-23, ,
42,-10, , , ,-10,-10, ,-10, , , , ,-10, , , , , , , , ,-10, ,-10,-10,-10, ,
